Feature,Weight,Absolute Weight
P_COMMUTE_PUBLIC,0.0011990150922389711,0.0011990150922389711
lag_P_WORK_FINANCE,-0.0011363020290884318,0.0011363020290884318
GEO_ID_1600000US0602000,0.0011007376543326064,0.0011007376543326064
P_WORK_TRANSPORTATION,-0.0010881858822648846,0.0010881858822648846
P_WORK_PROFESSIONAL,-0.0008354509954986485,0.0008354509954986485
lag_P_3_BEDROOMS,0.0008281342782768819,0.0008281342782768819
P_3_BEDROOMS,-0.0007627000971243969,0.0007627000971243969
GEO_ID_1600000US2938000,0.0007587346473591581,0.0007587346473591581
lag_P_WORK_TRANSPORTATION,0.0007454008543876303,0.0007454008543876303
P_HH_INCOME_50K_75K,-0.0007361700225822655,0.0007361700225822655
lag_P_WORK_INFORMATION,-0.0007310985556444327,0.0007310985556444327
lag_P_DIFF_HOUSE_SAME_STATE,-0.0006558201869122648,0.0006558201869122648
P_WORK_INFORMATION,0.000655666865231672,0.000655666865231672
lag_P_HH_VALUE_1MIL_PLUS,-0.0006347724398539645,0.0006347724398539645
lag_P_GRAD_DEGREE,-0.0005822944402913699,0.0005822944402913699
lag_P_HH_INCOME_50K_75K,-0.0005762873847177941,0.0005762873847177941
P_SCHOOL_NURSERY,-0.0005558367164734696,0.0005558367164734696
lag_P_SCHOOL_NURSERY,-0.0003747315145466723,0.0003747315145466723
AVG_COMMUTE_TIME,-0.0002404550405203723,0.0002404550405203723
P_HH_VALUE_1MIL_PLUS,0.0002248389773901599,0.0002248389773901599
P_WORK_FINANCE,-0.0002180694427769969,0.0002180694427769969
lag_P_WORK_PROFESSIONAL,0.00019642050445297168,0.00019642050445297168
P_DIFF_HOUSE_SAME_STATE,0.00012435463440525416,0.00012435463440525416
